unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Global Peace Initiative,1,Peace Efforts,,Lesson 1.4 Activity,,fAT3IBtbfps,
1,Global Peace Initiative,2,Esfuerzos por la Paz,,Lesson 1.4 Activity,,Nq6zfY5DZhI,
1,Global Peace Initiative,3,The Global Peace Initiative - 1,,Lesson 1.1 Activity,,CAoueQgXp14,
1,Global Peace Initiative,4,The Global Peace Initiative - 2,,Lesson 1.2 Activity,,y5aq5besMSM,
1,Global Peace Initiative,5,The Global Peace Initiative - 3,,Lesson 1.3 Activity,,8fLlf8STPwc,
1,Global Peace Initiative,6,Iniciativa Global de Paz - 1,,Lesson 1.1 Activity,,aOcHP67Og0o,
1,Global Peace Initiative,7,Iniciativa Global de Paz - 2,,Lesson 1.2 Activity,,IYdiRO7PsUE,
1,Global Peace Initiative,8,Iniciativa Global de Paz - 3,,Lesson 1.3 Activity,,TloGCsqeQ44,
2,GPI Existing Areas,1,GPI EA Organisation - 1,,Lesson 2.1 Activity,,Aitv0_E4tFc,
2,GPI Existing Areas,2,GPI EA Organisation - 2,,Lesson 2.2 Activity,,_C8IauFizD8,
2,GPI Existing Areas,3,GPI EA Organisation - 3,,Lesson 2.3 Activity,,oM_j97b8zRQ,
2,GPI Existing Areas,4,GPI EA Organisation - 4,,Lesson 2.4 Activity,,eKCOgwGPTyw,
2,GPI Existing Areas,5,GPI EA Organisation_ES,,Lesson 2.5 Activity,,zhuCTIAn82E,
3,Spreading the Message,1,Spreading the Message,,Lesson 3.1 Activity,,-r8-eeZN3OA,
3,Spreading the Message,2,Difundir el Mensaje,,Lesson 3.2 Activity,,eEShT4ic9AA,
